Sweep BTCUSDT 1h x2000 — 288 configs (trailing stop)
rsi sto sl  traA traD vol fibTol | WR%   N    PnL
40  35  0.8 0.8 0.5  1.5 0.005 | 83.3 6    0.29
40  35  0.8 0.8 0.8  1.5 0.005 | 83.3 6    0.22
40  35  0.8 1.2 0.5  1.5 0.005 | 83.3 6    0.29
40  35  0.8 1.2 0.8  1.5 0.005 | 83.3 6    0.22
40  35  1 0.8 0.5  1.5 0.005 | 83.3 6    0.28
40  35  1 0.8 0.8  1.5 0.005 | 83.3 6    0.21
40  35  1 1.2 0.5  1.5 0.005 | 83.3 6    0.28
40  35  1 1.2 0.8  1.5 0.005 | 83.3 6    0.21
35  25  0.8 0.8 0.5  1.5 0.005 | 80.0 5    0.23
35  25  0.8 0.8 0.5  1.5 0.008 | 80.0 5    0.23
35  25  0.8 0.8 0.8  1.5 0.005 | 80.0 5    0.17
35  25  0.8 0.8 0.8  1.5 0.008 | 80.0 5    0.17
35  25  0.8 1.2 0.5  1.5 0.005 | 80.0 5    0.23
35  25  0.8 1.2 0.5  1.5 0.008 | 80.0 5    0.23
35  25  0.8 1.2 0.8  1.5 0.005 | 80.0 5    0.17
35  25  0.8 1.2 0.8  1.5 0.008 | 80.0 5    0.17
35  30  0.8 0.8 0.5  1.5 0.005 | 80.0 5    0.23
35  30  0.8 0.8 0.5  1.5 0.008 | 80.0 5    0.23
35  30  0.8 0.8 0.8  1.5 0.005 | 80.0 5    0.17
35  30  0.8 0.8 0.8  1.5 0.008 | 80.0 5    0.17

--- Configs with N>=15 and WR>=80% ---
NONE — need to relax. Best N>=10 WR>=75:
